,accuracy,polar_consistency_↓,abs_agreement_score,contradiction_idx_↓,ideal model dist ↓,layer_number,relative_postion,perc_cluster,accuracy_cluster,index,dataset,finetune,type
0,0.516,-8.881784197001252e-16,8.881784197001252e-16,0.320039302110672,0.509897134712995,1,0.0,1,1,decoder_base_ttt,ttt,no,decoder
1,0.536,0.011133353225886822,0.07161661982536316,0.3982919454574585,0.5389552821043629,2,8.0,1,1,decoder_base_ttt,ttt,no,decoder
2,0.508,0.09652308374643326,0.18291327357292175,0.48261508345603943,0.593667024137203,3,15.0,2,1,decoder_base_ttt,ttt,no,decoder
3,0.536,0.15952107310295105,0.2646884322166443,0.5440281629562378,0.6013393426999369,4,23.0,2,1,decoder_base_ttt,ttt,no,decoder
4,0.56,0.16231629252433777,0.271062970161438,0.5387485027313232,0.6127794571211915,5,31.0,2,1,decoder_base_ttt,ttt,no,decoder
5,0.552,0.18821179866790771,0.3478369414806366,0.5586932897567749,0.6362306699856044,6,38.0,3,1,decoder_base_ttt,ttt,no,decoder
6,0.56,0.2301066666841507,0.31503432989120483,0.533833920955658,0.6320524193378517,7,46.0,3,1,decoder_base_ttt,ttt,no,decoder
7,0.512,0.1458379030227661,0.245014488697052,0.5335125923156738,0.656420588537534,8,54.0,3,1,decoder_base_ttt,ttt,no,decoder
8,0.5680000000000001,0.1809699535369873,0.30251461267471313,0.5146849155426025,0.6576220140363968,9,62.0,4,1,decoder_base_ttt,ttt,no,decoder
9,0.524,0.3406144380569458,0.4323815107345581,0.6416346430778503,0.6607698544418095,10,69.0,4,1,decoder_base_ttt,ttt,no,decoder
10,0.54,0.27034956216812134,0.490177720785141,0.683275580406189,0.6538777873570071,11,77.0,4,1,decoder_base_ttt,ttt,no,decoder
11,0.552,0.21138730645179749,0.48006755113601685,0.6734394431114197,0.6343770468071541,12,85.0,4,1,decoder_base_ttt,ttt,no,decoder
12,0.524,0.012617800384759903,0.026867689564824104,0.361789345741272,0.5082525841806612,13,92.0,4,1,decoder_base_ttt,ttt,no,decoder
